cliente,rut,email,numero,emision,vencimiento,moneda,monto,pagado
Clínica Los Robles,78.112.667-3,administracion@clinrobles.cl,F-10562,2026-02-21,2026-03-23,CLP,4831000,0
Clínica Los Robles,78.112.667-3,administracion@clinrobles.cl,F-10581,2026-02-28,2026-03-30,CLP,5293000,0
Inmobiliaria Pehuen,76.998.441-7,gerencia@pehuen.cl,F-10613,2026-02-28,2026-03-30,CLP,5578000,5578000
Transportes Vinamar Ltda,78.990.221-K,contabilidad@vinamar.cl,F-10429,2026-03-03,2026-04-02,CLP,5653000,5653000
Agroindustrial Maipo SA,96.551.740-2,tesoreria@agromaipo.cl,F-10465,2026-03-06,2026-04-20,CLP,6441000,0
Supermercados Buin Ltda,77.445.223-1,finanzas@supbuin.cl,F-10532,2026-03-21,2026-04-20,CLP,6908000,6908000
Agroindustrial Maipo SA,96.551.740-2,tesoreria@agromaipo.cl,F-10458,2026-03-08,2026-04-22,CLP,5938000,1465487
Distribuidora Bahia Azul,79.554.012-6,cobranzas@bahiaazul.cl,F-10634,2026-03-08,2026-04-22,CLP,4586000,0
Comercial Delta Norte,79.334.881-0,cobranza@deltanorte.cl,F-10505,2026-03-27,2026-04-26,CLP,4627000,0
Servicios Electricos Coya,77.201.559-8,admin@electricacoya.cl,F-10469,2026-03-14,2026-04-28,CLP,495000,495000
Servicios Electricos Coya,77.201.559-8,admin@electricacoya.cl,F-10471,2026-03-29,2026-04-28,CLP,4980000,1612561
Retail Sur Global SA,96.770.114-9,pagos@retailsurglobal.cl,F-10560,2026-03-18,2026-05-02,USD,96759,38149
Servicios Electricos Coya,77.201.559-8,admin@electricacoya.cl,F-10488,2026-03-05,2026-05-04,CLP,9671000,0
Constructora Alerce SpA,76.412.330-5,pagos@alerce.cl,F-10413,2026-04-05,2026-05-05,CLP,5774000,5774000
Inmobiliaria Pehuen,76.998.441-7,gerencia@pehuen.cl,F-10623,2026-04-11,2026-05-11,CLP,2646000,2646000
Transportes Vinamar Ltda,78.990.221-K,contabilidad@vinamar.cl,F-10421,2026-04-16,2026-05-16,CLP,5715000,0
Minera Andacollo SpA,76.883.112-4,cuentas@mineraandacollo.cl,F-10510,2026-03-23,2026-05-22,USD,11221,0
Frigorifico Osorno SpA,77.667.889-2,pagos@friosorno.cl,F-10669,2026-04-23,2026-05-23,CLP,1354000,0
Inmobiliaria Pehuen,76.998.441-7,gerencia@pehuen.cl,F-10603,2026-04-26,2026-05-26,CLP,5343000,5343000
Minera Andacollo SpA,76.883.112-4,cuentas@mineraandacollo.cl,F-10529,2026-04-19,2026-06-03,USD,21006,0
Retail Sur Global SA,96.770.114-9,pagos@retailsurglobal.cl,F-10553,2026-03-08,2026-06-06,USD,114956,0
Minera Andacollo SpA,76.883.112-4,cuentas@mineraandacollo.cl,F-10509,2026-04-11,2026-06-10,USD,50176,50176
Supermercados Buin Ltda,77.445.223-1,finanzas@supbuin.cl,F-10542,2026-04-26,2026-06-10,CLP,6339000,0
Inmobiliaria Pehuen,76.998.441-7,gerencia@pehuen.cl,F-10610,2026-05-12,2026-06-11,CLP,6073000,2652361
Agroindustrial Maipo SA,96.551.740-2,tesoreria@agromaipo.cl,F-10442,2026-04-28,2026-06-12,CLP,7224000,3293901
Supermercados Buin Ltda,77.445.223-1,finanzas@supbuin.cl,F-10549,2026-04-28,2026-06-12,CLP,7239000,0
Constructora Alerce SpA,76.412.330-5,pagos@alerce.cl,F-10409,2026-05-16,2026-06-15,CLP,8152000,0
Agroindustrial Maipo SA,96.551.740-2,tesoreria@agromaipo.cl,F-10433,2026-04-18,2026-06-17,CLP,7679000,0
Minera Andacollo SpA,76.883.112-4,cuentas@mineraandacollo.cl,F-10520,2026-04-30,2026-06-29,USD,59726,59726
Frigorifico Osorno SpA,77.667.889-2,pagos@friosorno.cl,F-10646,2026-05-31,2026-06-30,CLP,2690000,0
Clínica Los Robles,78.112.667-3,administracion@clinrobles.cl,F-10579,2026-06-04,2026-07-04,CLP,5503000,5503000
Transportes Vinamar Ltda,78.990.221-K,contabilidad@vinamar.cl,F-10424,2026-04-06,2026-07-05,CLP,6362000,6362000
Frigorifico Osorno SpA,77.667.889-2,pagos@friosorno.cl,F-10662,2026-05-07,2026-07-06,CLP,6974000,0
Distribuidora Bahia Azul,79.554.012-6,cobranzas@bahiaazul.cl,F-10642,2026-06-13,2026-07-13,CLP,6669000,6669000
Frigorifico Osorno SpA,77.667.889-2,pagos@friosorno.cl,F-10644,2026-06-16,2026-07-16,CLP,8820000,0
Agroindustrial Maipo SA,96.551.740-2,tesoreria@agromaipo.cl,F-10439,2026-06-17,2026-07-17,CLP,7842000,2745677
Inmobiliaria Pehuen,76.998.441-7,gerencia@pehuen.cl,F-10620,2026-04-19,2026-07-18,CLP,4873000,4873000
Retail Sur Global SA,96.770.114-9,pagos@retailsurglobal.cl,F-10554,2026-06-04,2026-07-19,USD,13342,0
Servicios Electricos Coya,77.201.559-8,admin@electricacoya.cl,F-10482,2026-06-22,2026-07-22,CLP,8080000,8080000
Servicios Electricos Coya,77.201.559-8,admin@electricacoya.cl,F-10475,2026-05-24,2026-07-23,CLP,1047000,1047000
Clínica Los Robles,78.112.667-3,administracion@clinrobles.cl,F-10591,2026-06-10,2026-07-25,CLP,5462000,5462000
Comercial Delta Norte,79.334.881-0,cobranza@deltanorte.cl,F-10493,2026-04-30,2026-07-29,CLP,2016000,2016000
Inmobiliaria Pehuen,76.998.441-7,gerencia@pehuen.cl,F-10598,2026-06-03,2026-08-02,CLP,6587000,0
Clínica Los Robles,78.112.667-3,administracion@clinrobles.cl,F-10584,2026-07-09,2026-08-08,CLP,2677000,0
Supermercados Buin Ltda,77.445.223-1,finanzas@supbuin.cl,F-10548,2026-07-14,2026-08-13,CLP,8071000,0
Comercial Delta Norte,79.334.881-0,cobranza@deltanorte.cl,F-10498,2026-05-17,2026-08-15,CLP,3795000,2389336
Clínica Los Robles,78.112.667-3,administracion@clinrobles.cl,F-10573,2026-07-20,2026-08-19,CLP,542000,0
